Ticker,Industry,Sector
QBTS,Quantum Computing,Technology
QUBT,Quantum Computing,Technology
IONQ,Quantum Computing,Technology
RGTI,Quantum Computing,Technology
INFQ,Quantum Computing,Technology
RIOT,Data Center - Crypto Mining,Technology
CLSK,Data Center - Crypto Mining,Technology
CIFR,Data Center - Crypto Mining,Technology
MARA,Data Center - Crypto Mining,Technology
BTDR,Data Center - Crypto Mining,Technology
WULF,Data Center - Crypto Mining,Technology
IREN,Data Center - Crypto Mining,Technology
APLD,Data Center - Crypto Mining,Technology
HUT,Data Center - Crypto Mining,Technology
CORZ,Data Center - Crypto Mining,Technology
MSTR,Crypto - Blockchain,Financial Services
BMNR,Crypto - Blockchain,Financial Services
PURR,Crypto - Blockchain,Financial Services
CRCL,Crypto - Blockchain,Financial Services
FIGR,Crypto - Blockchain,Financial Services
SBET,Crypto - Blockchain,Financial Services
BTBT,Crypto - Blockchain,Financial Services
ARQQ,Quantum Computing,Technology
EVTL,eVTOL,Industrials
ACHR,eVTOL,Industrials
JOBY,eVTOL,Industrials
EH,eVTOL,Industrials
XTIA,eVTOL,Industrials
BETA,eVTOL,Industrials
SRFM,eVTOL,Industrials
EVEX,eVTOL,Industrials
HOVR,eVTOL,Industrials
